Date,Lower Bound,Upper Bound
2023-08-14 12:00:00,0.84,0.876
2023-08-15 00:00:00,0.824,0.877
2023-08-16 00:00:00,0.845,0.892
2023-08-17 00:00:00,0.843,0.885
2023-08-18 00:00:00,0.833,0.875
2023-08-19 00:00:00,0.822,0.884
2023-08-20 00:00:00,0.826,0.888
2023-08-21 00:00:00,0.834,0.883
2023-08-22 00:00:00,0.825,0.878
2023-08-23 00:00:00,0.822,0.882
2023-08-24 00:00:00,0.828,0.87
2023-08-25 00:00:00,0.824,0.861
2023-08-26 00:00:00,0.819,0.874
2023-08-27 06:00:00,0.811,0.855
2023-08-28 00:00:00,0.809,0.864
2023-08-29 00:00:00,0.798,0.858
2023-08-30 00:00:00,0.835,0.885
2023-08-31 06:00:00,0.812,0.87
2023-09-01 00:00:00,0.815,0.864
2023-09-02 00:00:00,0.813,0.873
2023-09-03 00:00:00,0.824,0.869
2023-09-04 00:00:00,0.807,0.872
2023-09-05 00:00:00,0.819,0.871
2023-09-06 12:00:00,0.814,0.865
2023-09-08 06:00:00,0.815,0.868
2023-09-09 06:00:00,0.837,0.873
2023-09-10 00:00:00,0.828,0.894
2023-09-11 00:00:00,0.814,0.874
2023-09-12 00:00:00,0.836,0.882
2023-09-13 06:00:00,0.819,0.863
2023-09-14 00:00:00,0.817,0.876
2023-09-15 00:00:00,0.838,0.89
2023-09-16 00:00:00,0.83,0.863
2023-09-17 00:00:00,0.847,0.898
2023-09-18 00:00:00,0.81,0.875
2023-09-19 00:00:00,0.828,0.875
2023-09-20 06:00:00,0.833,0.877
2023-09-21 00:00:00,0.824,0.869
2023-09-22 06:00:00,0.828,0.874
2023-09-23 00:00:00,0.825,0.877
2023-09-24 00:00:00,0.849,0.891
2023-09-25 00:00:00,0.838,0.885
2023-09-26 00:00:00,0.849,0.889
2023-09-27 00:00:00,0.821,0.88
2023-09-28 06:00:00,0.826,0.874
2023-09-29 00:00:00,0.834,0.877
2023-09-30 00:00:00,0.818,0.88
2023-10-01 00:00:00,0.827,0.874
2023-10-02 00:00:00,0.823,0.89
2023-10-03 00:00:00,0.827,0.876
