Date,Predicted Lower Bound_Z,Predicted Upper Bound_Z
2024-03-01 14:00:00,-0.2443394528419523,0.24541952574916642
2024-03-02 14:00:00,0.06282293244416709,0.5525819110352861
2024-03-03 14:00:00,0.1725957311635719,0.6623547097546908
2024-03-04 14:00:00,0.1735498979278171,0.663308876518936
2024-03-05 14:00:00,0.18987851435517572,0.6796374929462946
2024-03-06 14:00:00,0.1558956009854208,0.6456545795765397
2024-03-07 14:00:00,0.18129285080030771,0.6710518293914266
2024-03-08 14:00:00,0.19552425360345554,0.6852832321945744
2024-03-09 14:00:00,0.168741812489632,0.6585007910807509
2024-03-10 14:00:00,0.1628437711759469,0.6526027497670658
2024-03-11 14:00:00,0.14369558175153344,0.6334545603426525
2024-03-12 14:00:00,0.12744078140926635,0.6171997600003852
2024-03-13 14:00:00,0.15536464788678844,0.6451236264779074
2024-03-14 14:00:00,0.1555974323494846,0.6453564109406036
2024-03-15 14:00:00,0.12175359681734593,0.6115125754084648
2024-03-16 14:00:00,0.17532195820044566,0.6650809367915645
2024-03-17 14:00:00,0.14553444913426375,0.6352934277253828
2024-03-18 14:00:00,0.14322097338854092,0.63297995197966
2024-03-19 14:00:00,0.1433775512133232,0.6331365298044422
2024-03-20 14:00:00,0.2061476817333167,0.6959066603244356
2024-03-21 14:00:00,0.2084006774456137,0.6981596560367326
2024-03-22 14:00:00,0.20619412737241677,0.6959531059635357
2024-03-23 14:00:00,0.19555300842589335,0.6853119870170122
2024-03-24 14:00:00,0.17665872094707796,0.6664176995381969
2024-03-25 14:00:00,0.12347272844690255,0.6132317070380214
2024-03-26 14:00:00,0.11001371367897067,0.5997726922700896
2024-03-27 14:00:00,0.11659248280316009,0.6063514613942791
2024-03-28 14:00:00,0.13369670648998894,0.6234556850811078
2024-03-29 14:00:00,0.19998222553235595,0.6897412041234748
2024-03-30 14:00:00,0.18770088465212015,0.677459863243239
